ch6-6-b3,1086,1089,1130
nnc1374,49,54,49
ch6-6-b1,31,27,31
west1505,19,23,17
de080285,41,37,38
mbeause,358,401,455
n3c6-b10,242,247,303
n4c6-b3,961,803,962
n4c6-b2,114,139,184
n4c6-b1,19,16,19
lp_czprob,30,23,137
fe_sphere,384,460,432
lp_modszk1,45,38,59
cegb3306,144,162,155
curtis54,7,7,7
p2p-Gnutella25,3377,3464,3758
powersim,13,8,21
rdb2048,128,128,128
ex10hs,28,47,58
mimo8x8_system,44,40,36
M10PI_n,4,6,6
n3c5-b2,25,27,34
lp_fit2p,25,24,27
plddb,8,8,8
qc324,162,162,162
can_838,80,74,73
rajat07,142,140,150
rajat06,120,120,124
rajat05,6,6,6
rajat04,30,34,34
rajat03,102,100,112
rajat02,25,22,30
rajat01,38,20,23
rajat08,160,160,186
rw496,38,37,39
lp_d6cube,236,228,393
dwt_869,24,35,28
flower_7_1,25,26,24
adder_dcop_69,82,28,102
adder_dcop_68,82,28,102
adder_dcop_67,82,28,102
adder_dcop_66,82,28,102
adder_dcop_65,82,28,102
adder_dcop_64,82,28,102
ww_vref_6405,41,40,36
adder_dcop_62,82,28,102
adder_dcop_61,82,28,102
adder_dcop_60,82,28,102
complex,384,448,552
M20PI_n1,4,4,8
176bit,3184,3449,3587
Chebyshev1,4,4,4
Chebyshev3,20,4,288
Chebyshev2,36,4,168
Trefethen_20,20,18,20
S80PI_n,8,6,10
g7jac010,217,238,232
dwg961b,67,64,66
dwg961a,30,30,30
lp_truss,48,48,77
t3dl_e,0,0,0
lpi_klein3,69,65,120
lpi_klein2,45,42,65
lpi_klein1,37,35,43
Trefethen_200,156,160,189
dw2048,65,66,129
dwt_245,9,9,9
ca-HepTh,1255,1306,1393
can_161,32,32,44
p0040,3,3,3
lp_d2q06c,135,126,146
saylr4,157,160,162
lp_pilot87,362,567,579
deter8,15,15,15
n2c6-b10,0,0,0
bips07_1693,45,41,39
bfwb62,8,8,8
oscil_dcop_10,2,2,2
oscil_dcop_11,2,2,2
oscil_dcop_12,2,2,2
oscil_dcop_13,2,2,2
oscil_dcop_14,2,2,2
oscil_dcop_15,2,2,2
Trec11,222,227,235
oscil_dcop_17,2,2,2
ch7-9-b1,63,47,63
freeFlyingRobot_14,130,14,62
deter2,15,15,15
deter3,15,15,15
deter4,16,15,16
freeFlyingRobot_10,102,14,36
deter6,15,15,15
freeFlyingRobot_12,14,14,58
freeFlyingRobot_15,78,14,50
Hamrle1,6,5,6
Hamrle2,16,16,16
oscil_dcop_19,2,2,2
ch7-9-b2,1298,1041,1498
Oregon-2,262,265,401
Oregon-1,182,201,359
freeFlyingRobot_11,120,14,38
deter5,15,15,15
freeFlyingRobot_13,111,14,50
deter7,15,15,15
flower_5_1,25,24,24
flower_5_4,1376,1410,1581
jan99jac020,327,334,364
Ragusa18,9,7,16
jagmesh9,43,43,42
jagmesh8,42,42,42
jagmesh7,28,30,28
jagmesh6,18,18,18
Ragusa16,11,7,7
jagmesh4,40,40,40
jagmesh3,66,66,66
jagmesh2,62,66,66
jagmesh1,52,52,52
lp_ship04l,32,4,6
whitaker3,130,137,143
bp_200,28,37,39
mk10-b1,42,33,40
mk10-b3,1124,1086,1082
mk10-b2,403,395,445
wang2,364,364,364
mk10-b4,0,0,0
wang1,364,364,364
rw136,20,20,20
lp_ship04s,30,4,6
biplane-9,121,131,139
adjnoun,51,57,58
Kohonen,171,181,217
adder_dcop_45,82,28,102
can_62,6,6,6
pesa,69,68,68
rel3,3,3,5
tumorAntiAngiogenesis_3,12,12,12
tumorAntiAngiogenesis_2,12,12,16
tumorAntiAngiogenesis_5,12,16,12
tumorAntiAngiogenesis_4,16,16,18
rel5,17,11,17
