adder_dcop_66,82,28
adder_dcop_65,82,28
adder_dcop_64,82,28
ww_vref_6405,41,40
adder_dcop_62,82,28
adder_dcop_61,82,28
adder_dcop_60,82,28
complex,384,448
M20PI_n1,4,4
176bit,3184,3449
Chebyshev1,4,4
Chebyshev3,20,4
Chebyshev2,36,4
Trefethen_20,20,18
S80PI_n,8,6
g7jac010,217,238
dwg961b,67,64
dwg961a,30,30
lp_truss,48,48
t3dl_e,0,0
lpi_klein3,69,65
lpi_klein2,45,42
lpi_klein1,37,35
Trefethen_200,156,160
dw2048,65,66
dwt_245,9,9
ca-HepTh,1255,1306
can_161,32,32
p0040,3,3
lp_d2q06c,135,126
saylr4,157,160
lp_pilot87,362,567
deter8,15,15
n2c6-b10,0,0
bips07_1693,45,41
bfwb62,8,8
oscil_dcop_10,2,2
oscil_dcop_11,2,2
oscil_dcop_12,2,2
oscil_dcop_13,2,2
oscil_dcop_14,2,2
oscil_dcop_15,2,2
Trec11,222,227
oscil_dcop_17,2,2
ch7-9-b1,63,47
freeFlyingRobot_14,130,14
deter2,15,15
deter3,15,15
deter4,16,15
freeFlyingRobot_10,102,14
deter6,15,15
freeFlyingRobot_12,14,14
freeFlyingRobot_15,78,14
Hamrle1,6,5
Hamrle2,16,16
oscil_dcop_19,2,2
ch7-9-b2,1298,1041
Oregon-2,262,265
Oregon-1,182,201
freeFlyingRobot_11,120,14
deter5,15,15
freeFlyingRobot_13,111,14
deter7,15,15
flower_5_1,25,24
flower_5_4,1376,1410
jan99jac020,327,334
Ragusa18,9,7
jagmesh9,43,43
jagmesh8,42,42
jagmesh7,28,30
jagmesh6,18,18
Ragusa16,11,7
jagmesh4,40,40
jagmesh3,66,66
jagmesh2,62,66
jagmesh1,52,52
lp_ship04l,32,4
whitaker3,130,137
bp_200,28,37
mk10-b1,42,33
mk10-b3,1124,1086
mk10-b2,403,395
wang2,364,364
mk10-b4,0,0
wang1,364,364
rw136,20,20
lp_ship04s,30,4
biplane-9,121,131
adjnoun,51,57
Kohonen,171,181
adder_dcop_45,82,28
can_62,6,6
pesa,69,68
rel3,3,3
tumorAntiAngiogenesis_3,12,12
tumorAntiAngiogenesis_2,12,12
tumorAntiAngiogenesis_5,12,16
tumorAntiAngiogenesis_4,16,16
rel5,17,11
tumorAntiAngiogenesis_6,16,8
crew1,121,110
model9,12,12
model8,134,136
model3,85,97
model2,97,94
model1,55,58
model7,9,9
model6,91,100
model5,1,1
model4,117,106
M80PI_n,8,6
nl,266,297
rajat14,14,10
rajat11,11,12
rajat12,26,19
rajat13,90,18
hangGlider_2,34,10
hangGlider_3,380,10
hangGlider_1,10,10
stoch_aircraft,9,7
Si2,523,700
can_229,38,38
football,64,63
mycielskian7,52,56
mycielskian6,25,26
dwt_878,34,36
mycielskian4,9,6
mycielskian3,2,2
mycielskian2,0,0
bips07_1998,36,32
mycielskian9,202,264
mycielskian8,102,124
testbig,9,8
lpl2,206,126
dwt_503,52,63
N_biocarta,0,0
str_200,21,41
lp_grow22,20,20
G17,415,418
g7jac020,364,451
ash85,14,14
cat_ears_3_4,1094,1137
cat_ears_3_1,16,16
polblogs,197,235
n2c6-b9,0,0
bayer10,49,56
Kaufhold,42,46
n2c6-b1,13,12
n2c6-b3,285,276
n2c6-b2,61,59
n2c6-b5,1934,1488
n2c6-b4,929,685
n2c6-b7,1372,1606
bcsstm25,0,0
sit100,274,298
yeast,462,505
G53,510,526
G52,507,534
G51,520,542
lnsp_131,24,24
G57,0,0
G56,2275,2456
G55,2275,2456
G54,527,535
G59,2604,2676
G58,2604,2676
dano3mip,1420,1166
airfoil1_dual,68,76
gre_216b,36,36
gre_216a,36,36
mahindas,115,114
Zewail,717,879
bwm2000,4,4
sts4098,102,171
dw256A,24,24
dw256B,34,34
lshp1009,62,66
sphere2,26,24
sphere3,50,48
dwt_992,64,72
freeFlyingRobot_8,39,14
145bit,489,516
mbeacxc,377,456
iiasa,14,14
df2177,448,523
rdb1250l,100,100
rdb200,40,40
gre_115,23,23
fpga_dcop_19,2,3
dwt_1007,38,38
dwt_1005,80,86
ex20,106,143
primagaz,7,7
mesh2e1,34,34
1138_bus,20,16
bp_1600,44,41
freeFlyingRobot_5,130,14
freeFlyingRobot_4,40,14
freeFlyingRobot_7,100,14
freeFlyingRobot_6,58,14
freeFlyingRobot_1,23,14
watt_2,128,128
freeFlyingRobot_3,36,14
freeFlyingRobot_2,14,14
lp_grow7,20,20
freeFlyingRobot_9,62,14
jagmesh5,21,20
Erdos972,230,252
Erdos971,105,103
descriptor_xingo6u,48,28
Cities,47,46
n4c5-b2,61,59
n4c5-b3,225,280
n4c5-b1,13,12
n4c5-b6,1646,1539
n4c5-b7,1282,1439
n4c5-b4,793,852
n4c5-b5,1393,1439
n4c5-b8,594,664
n4c5-b9,142,155
extr1,15,16
nemsafm,12,6
lp_beaconfd,36,36
orsirr_2,100,100
cz148,21,23
orsirr_1,100,100
rkat7_mat5,237,297
refine,6,3
dwt_1242,48,56
L-9,222,227
mhd1280a,44,63
mhd1280b,16,20
Goodwin_017,168,192
Goodwin_013,120,175
Goodwin_010,88,158
ch8-8-b2,1306,1053
ch8-8-b1,64,48
plskz362,22,20
ibm32,18,14
lshp_265,33,34
lp_agg,25,44
Chem97Zt,0,0
nopss_11k,36,48
lp_dfl001,541,587
lpi_greenbea,82,139
162bit,1595,1688
rdb450,60,60
data,128,118
nsic,47,44
D_10,276,271
D_11,101,103
rajat27,22,28
se,4118,3895
M40PI_n,6,6
PGPgiantcompo,223,221
utm3060,205,227
lp_scagr7,6,7
Journals,125,173
can_24,15,8
fe_4elt2,132,132
lshp1270,74,74
lpi_pang,17,19
lp_wood1p,103,121
bayer08,69,71
bayer09,33,34
bayer06,69,71
bayer07,110,97
bayer04,106,102
bayer05,110,97
bayer02,28,28
bayer03,35,31
can_144,13,12
nasa1824,227,301
dwt_221,15,16
lp_maros,45,46
bips07_2476,47,25
car4,0,0
G40,1037,1090
G41,1030,1066
G42,1036,1084
G43,1001,1352
G44,1000,1361
G45,1000,1389
G46,1001,1366
G47,1000,1358
G48,0,0
G49,0,0
ch4-4-b3,0,0
EX4,2585,2265
filter2D,80,89
dwt_310,14,14
freeFlyingRobot_16,56,14
can_1072,62,63
spaceStation_1,42,43
spaceStation_3,74,70
spaceStation_2,162,165
spaceStation_5,93,126
spaceStation_4,119,113
spaceStation_7,74,98
spaceStation_6,92,110
spaceStation_9,20,20
spaceStation_8,56,23
mhd4800b,3,2
gre_343,46,48
lock_700,149,163
Maragal_3,225,263
Maragal_2,22,22
Maragal_1,15,14
lp_ship08l,10,7
Maragal_5,382,539
fome11,0,0
rosen7,8,8
rosen1,8,8
rosen2,8,8
lp_ship08s,11,7
cz628,20,20
cdde1,62,62
cdde3,62,62
cdde2,62,62
cdde5,62,62
cdde4,62,62
lp_standgub,30,31
cdde6,62,62
Trec10,99,98
utm1700b,115,124
NotreDame_yeast,89,93
lp_qap12,1320,1504
lp_qap15,2595,2877
karate,10,9
young1c,58,58
lp_tuff,44,47
stufe-10,72,68
ck104,0,0
shyy41,61,55
lp_qap8,384,416
mark3jac020,330,378
fpga_dcop_48,2,3
fpga_dcop_49,2,3
comsol,157,264
fpga_dcop_42,2,3
fpga_dcop_43,2,3
fpga_dcop_40,2,3
fpga_dcop_41,2,3
fpga_dcop_46,2,3
fpga_dcop_47,2,3
fpga_dcop_44,2,3
fpga_dcop_45,2,3
utm300,52,51
mimo46x46_system,32,36
lpi_chemcom,49,53
lshp3466,122,122
adder_dcop_16,82,28
oscil_dcop_47,2,2
bp_400,35,32
kneser_8_3_1,982,983
c-19,212,240
c-18,58,64
bcsstk03,0,0
lund_a,42,44
lund_b,41,43
dynamicSoaringProblem_3,46,22
dynamicSoaringProblem_2,52,28
dynamicSoaringProblem_1,28,22
dynamicSoaringProblem_7,28,22
dynamicSoaringProblem_6,52,28
dynamicSoaringProblem_5,79,28
dynamicSoaringProblem_4,22,22
dynamicSoaringProblem_8,28,32
Harvard500,16,14
tumorAntiAngiogenesis_8,20,12
jazz,123,138
str_600,24,30
gen,497,512
adder_dcop_26,82,28
tumorAntiAngiogenesis_1,16,8
pivtol,4,4
rel7,461,468
b_dyn,15,15
rel6,67,64
shl_200,12,8
olm100,2,2
rel4,9,5
dwt_419,32,32
shermanACd,195,182
shermanACa,165,171
orbitRaising_3,24,16
dwt_234,8,6
pde2961,94,94
CSphd,0,0
adder_trans_01,122,44
adder_trans_02,122,44
dwt_307,46,46
robot24c1_mat5_J,193,237
bibd_17_4b,136,134
rdist3a,46,66
poli,5,4
ash608,13,14
bfwa782,29,28
spaceShuttleEntry_4,62,26
young2c,58,58
spaceShuttleEntry_1,17,14
spaceShuttleEntry_3,40,26
spaceShuttleEntry_2,14,14
Franz1,64,86
D_8,708,782
Franz2,512,538
Franz5,1002,990
Franz4,1072,1053
Franz7,471,481
Franz6,1579,1724
Franz9,1415,1452
hydr1c,26,28
D_6,250,259
D_7,586,625
D_5,56,63
GlossGT,8,6
SmaGri,132,138
cq9,269,190
cq5,155,125
coupled,282,258
eurqsa,385,336
GD06_Java,117,94
lpi_forest6,5,5
lp_greenbeb,102,145
lp_greenbea,102,145
lp_blend,14,16
nnc261,24,22
b2_ss,15,15
SciMet,316,356
lshp2614,106,106
lpi_itest6,0,2
fpga_dcop_51,2,3
fpga_dcop_50,2,3
lpi_itest2,4,3
lnsp_511,67,69
bp_1000,37,36
lp_stair,25,31
lpi_qual,31,33
EPA,194,193
nos1,4,4
nos2,4,4
nos3,80,100
nos4,15,16
nos5,108,124
nos6,30,30
nos7,124,162
