grid2_dual,3136,3136,12224,DNF,DNF,DNF,DNF
n3c6-b4,3003,1365,15015,DNF,DNF,DNF,DNF
lpi_bgindy,2671,10880,66266,DNF,DNF,DNF,DNF
Erdos982,4962,4962,14750,DNF,DNF,DNF,DNF
Erdos981,445,445,2762,DNF,DNF,DNF,DNF
lp_adlittle,56,138,424,9,1,9,15
lp_fit1d,24,1049,13427,20,2,20,1
lp_fit1p,627,1677,9868,21,2,DNF,DNF
fs_760_1,760,760,5976,44,3275,DNF,DNF
TF11,216,235,1607,DNF,DNF,DNF,DNF
TF10,99,106,622,33,4182,DNF,DNF
TF13,1121,1301,11185,DNF,DNF,DNF,DNF
TF12,488,551,4231,DNF,DNF,DNF,DNF
TF15,6334,7741,80057,DNF,DNF,DNF,DNF
TF14,2644,3159,29862,DNF,DNF,DNF,DNF
hor_131,434,434,4710,DNF,DNF,DNF,DNF
flowmeter0,9669,9669,67391,DNF,DNF,DNF,DNF
flowmeter5,9669,9669,67391,DNF,DNF,DNF,DNF
DK01R,903,903,11766,20,18569,DNF,DNF
as-22july06,22963,22963,96872,DNF,DNF,DNF,DNF
olm500,500,500,1996,2,1,2,34
netz4504_dual,615,615,2342,DNF,DNF,DNF,DNF
mk11-b4b,9450,17325,47250,DNF,DNF,DNF,DNF
lpi_woodinfe,35,89,140,0,0,0,1
rdb1250,1250,1250,7300,DNF,DNF,DNF,DNF
cis-n4c6-b15,60,920,960,0,1,0,1
cis-n4c6-b14,920,6300,13800,DNF,DNF,DNF,DNF
cis-n4c6-b13,6300,25605,88200,DNF,DNF,DNF,DNF
bcsstm06,420,420,420,0,1,0,1
oscil_dcop_42,430,430,1544,2,1,DNF,DNF
oscil_dcop_41,430,430,1544,2,1,DNF,DNF
bcsstm05,153,153,153,0,0,0,1
fxm2-6,1520,2845,12812,DNF,DNF,DNF,DNF
oscil_dcop_46,430,430,1544,2,1,DNF,DNF
dw8192,8192,8192,41746,DNF,DNF,DNF,DNF
big_dual,30269,30269,89858,DNF,DNF,DNF,DNF
bcsstm01,48,48,48,0,0,0,1
lp_lotfi,153,366,1136,18,1,DNF,DNF
lpi_ceria3d,3576,4400,21178,DNF,DNF,DNF,DNF
bp_600,822,822,4172,33,40328,DNF,DNF
gr_30_30,900,900,7744,DNF,DNF,DNF,DNF
adder_dcop_52,1813,1813,11246,18,11,DNF,DNF
adder_dcop_53,1813,1813,11246,18,11,DNF,DNF
Trefethen_300,300,300,4678,DNF,DNF,DNF,DNF
str_400,363,363,3157,23,1887,DNF,DNF
adder_dcop_56,1813,1813,11246,18,11,DNF,DNF
adder_dcop_57,1813,1813,11246,18,12,DNF,DNF
adder_dcop_54,1813,1813,11246,18,12,DNF,DNF
adder_dcop_55,1813,1813,11246,18,11,DNF,DNF
adder_dcop_58,1813,1813,11246,18,10,DNF,DNF
adder_dcop_59,1813,1813,11246,18,11,DNF,DNF
beause,492,505,44551,DNF,DNF,DNF,DNF
qpband,20000,20000,45000,0,331,0,564
lp_scsd1,77,760,2388,12,1,DNF,DNF
lp_scsd6,147,1350,4316,20,5102,DNF,DNF
lp_scsd8,397,2750,8584,10,3,DNF,DNF
Tina_DisCog,11,11,48,6,0,6,1
rail_1357,1357,1357,8985,DNF,DNF,DNF,DNF
S10PI_n,682,682,1633,4,1,DNF,DNF
rotor2,791,791,10685,DNF,DNF,DNF,DNF
rotor1,100,100,708,14,1,DNF,DNF
mesh1e1,48,48,306,18,3,18,419
scagr7-2c,2447,3479,9005,7,7,DNF,DNF
scagr7-2b,9743,13847,35885,7,133,DNF,DNF
msc00726,726,726,34518,DNF,DNF,DNF,DNF
beaflw,492,500,53403,DNF,DNF,DNF,DNF
oscil_dcop_07,430,430,1544,2,1,DNF,DNF
west0167,167,167,507,7,1,DNF,DNF
oscil_dcop_05,430,430,1544,2,1,DNF,DNF
oscil_dcop_04,430,430,1544,2,1,DNF,DNF
oscil_dcop_03,430,430,1544,2,1,DNF,DNF
oscil_dcop_02,430,430,1544,2,1,DNF,DNF
oscil_dcop_01,430,430,1544,2,1,DNF,DNF
steam2,600,600,13760,DNF,DNF,DNF,DNF
minnesota,2642,2642,6606,DNF,DNF,DNF,DNF
oscil_dcop_09,430,430,1544,2,1,DNF,DNF
oscil_dcop_08,430,430,1544,2,1,DNF,DNF
lshp1561,1561,1561,10681,DNF,DNF,DNF,DNF
tols4000,4000,4000,8784,0,6,DNF,DNF
will57,57,57,281,4,0,4,1
lp_bnl1,642,1586,5532,47,36413,DNF,DNF
lp_bnl2,2324,4486,14996,DNF,DNF,DNF,DNF
reorientation_1,677,677,7326,14,3,CNO,CNO
reorientation_3,2513,2513,32166,16,548,CNO,CNO
bp_0,822,822,3276,17,160,DNF,DNF
reorientation_5,2904,2904,35590,14,6870,CNO,CNO
reorientation_4,2717,2717,33630,14,15839,CNO,CNO
reorientation_7,3057,3057,37150,DNF,DNF,CNO,CNO
reorientation_6,3006,3006,37342,DNF,DNF,CNO,CNO
lp_recipe,91,204,687,11,1,11,384
reorientation_8,3108,3108,37894,DNF,DNF,CNO,CNO
chesapeake,39,39,340,16,1,16,3
lp_kb2,43,68,313,14,39,14,143
ash958,958,292,1916,9,2,DNF,DNF
goddardRocketProblem_1,831,831,8498,13,2264,CNO,CNO
goddardRocketProblem_2,867,867,9058,10,3,CNO,CNO
co5,5774,12325,57993,DNF,DNF,DNF,DNF
Erdos991,454,454,2834,DNF,DNF,DNF,DNF
Erdos992,5094,5094,15030,DNF,DNF,DNF,DNF
ch6-6-b5,720,4320,4320,0,2,0,1
ch6-6-b4,4320,5400,21600,DNF,DNF,DNF,DNF
ch6-6-b3,5400,2400,21600,DNF,DNF,DNF,DNF
nnc1374,1374,1374,8606,DNF,DNF,DNF,DNF
ch6-6-b1,450,36,900,25,2947,DNF,DNF
